Date,news_lm,"('news_lm', 'count')"
2020-02-17,"Consulting, financials lead recruiters as older IIMs end campus placements",1
2020-03-05,"Infosys, TCS  order books face twin test of coronavirus and low rates",1
2020-03-10,TCS declares ₹12 a share interim dividend,1
2020-03-11,Growth worries for Indian IT deepen after crude oil plunge,1
2020-04-03,GFC experience shows mid-cap IT firms to be hit more from covid-19,1
2020-04-16,"TCS not to lay off employees, freezes salary hikes,While TCS pulls out GFC playbook, investors should brace for worse,Q4 FY20: TCS net profit down 0.8% QoQ, Covid-19 hit on the supply side",3
2020-04-20,Why investors should take TCS’s internal targets with loads of salt,1
2020-05-03,Indian IT firms’ contract staff feel the heat of H-1B visa curbs,1
2020-05-07,Software services firms bet on digital business amid slowdown,1
2020-05-12,TCS iON launches platform for students to find virtual internships,1
2020-05-16,"Covid-19: Tech Mahindra follows IT peers, leverages AI for drug research",1
2020-05-20,TCS well-positioned to weather this storm: N Chandrasekaran,1
2020-05-29,Mid-cap IT companies fare better than large peers in Q4,1
2020-05-30,Sebi warns TCS for inadequate investor disclosure in Epic Systems case,1
2020-06-02,"Moody's lowers ratings of major Indian companies' to negative,Tata Consultancy Services share price up 0.11% at closing today,FY20 saw remuneration growth for top IT chief executives, barring TCS",3
2020-06-03,Tata Consultancy Services share price down 0.08% at closing today,1
2020-06-04,Tata Consultancy Services share price up 2.37% at closing today,1
2020-06-05,Tata Consultancy Services share price down 2.19% at closing today,1
2020-06-08,Tata Consultancy Services share price up 1.11% at closing today,1
2020-06-11,'TCS well poised to tap digital transformation opportunity in post covid world',1
2020-06-12,Indian IT sector may face the heat if US suspends H-1B visa,1
2020-06-14,"Opinion | Nani Palkhivala, a brilliant mind, a remarkable man",1
2020-06-16,"Sensex, Nifty claw back after losing all gains on India-China border tensions",1
2020-06-19,TCS collaborates with IBM for enterprise transformation,1
2020-06-22,Reliance Industries to hold its first virtual AGM,1
2020-06-23,H-1B visa suspension may adversely impact margins of IT companies,1
2020-07-05,"Top 10 Indian firms add ₹1.37 trillion in m-cap, TCS tops the gainers",1
2020-07-06,"JP Morgan Funds buys TCS shares worth ₹247 cr,Covid-19 impact on IT is not as bad as feared",2
2020-07-09,"Covid impact on TCS greater than Accenture, but stock defies reality,TCS in recovery mode even as net profit down 13% QoQ,Ahead of TCS result, ISG warns of sharp slowdown in financial services deals,TCS Q1 earnings: Here's what to expect from IT major",4
2020-07-10,"TCS criticizes H-1B visa ban, curbs on foreign students,TCS profit drops 14% in Jun quarter, sees Europe leading recovery",2
2020-07-12,"Six of top-10 Indian firms add over ₹1 tn in m-cap, Reliance tops the list",1
2020-07-15,"Wipro stock finds favour after positive Q1 earnings, new CEO’s comments",1
2020-07-16,Infosys outperforms TCS; guidance shows damage from covid is minimal,1
2020-07-20,IT may see surge in offshoring biz,1
2020-08-04,"TCS, 2 others shortlisted for implementation of RBI's market surveillance system,Trump’s order queers the pitch for H-1B workers",2
2020-08-09,"Six of top-10 most valued cos add ₹74,240 cr in market cap; RIL leads",1
2020-08-16,"Six of 10 top valued firms lose ₹78,275.12 cr in m-cap",1
