Date,news_mc1,"('news_mc1', 'count')"
2020-06-30,TCS to announce Q1 results on July 9,1
2020-07-03,Q1 results: Can Indian IT firms manage to duck COVID-19 bouncer?,1
2020-07-06,JP Morgan Funds buys TCS shares worth Rs 247 crore,1
2020-07-07,TCS expands decade-long partnership with Tryg,1
2020-07-09,"TCS Q1 profit falls 13% QoQ to Rs 7,008 crore, but deal wins remain robust,TCS Q1 Preview: Look out for trends in verticals, pricing pressure, deal pipeline",2
2020-07-10,"TCS Consolidated June 2020 Net Sales at Rs 38,322.00 crore, up 0.39% Y-o-Y,TCS a must-own stock in the new normal, but rally tempers near-term excitement",2
2020-07-15,"TCS Consolidated June 2020 Net Sales at Rs 38,322.00 crore, up 0.39% Y-o-Y,TCS Standalone June 2020 Net Sales at Rs 31,624.00 crore, down 3.16% Y-o-Y",2
2020-10-07,"TCS rolls out salary increments from October, hires 16,000 in July-September,TCS Consolidated September 2020 Net Sales at Rs 40,135.00 crore, up 2.97% Y-o-Y,TCS Q2 beat street estimates; 8 key points of quarterly scorecard,TCS announces share buyback of 5.33 crore shares for Rs 16,000 crore,TCS Q2 profit grows 6.7% to Rs 7,475 crore QoQ, announces Rs 16,000-crore share buyback",5
2020-10-08,"Accumulate Tata Consultancy Services; target of Rs 2950: Dolat Capital Market,Hold TCS; target of Rs 2780: Emkay Global Financial,Buy Tata Consultancy Services; target of Rs 3200: Prabhudas Lilladher,Buy Tata Consultancy Services; target of Rs 3300: ICICI Direct,TCS Q2FY21 results: Key highlights from the company's earnings concall,Buy Tata Consultancy Services; target of Rs 3150: Sharekhan,TCS – the promising bet on post pandemic technology upcycle",7
2020-10-09,Hold Tata Consultancy Services; target of Rs 2994: Arihant Capital,1
2020-10-13,Buy Tata Consultancy Services; target of Rs 3236: Geojit,1
2020-10-14,"TCS to recruit 10,000 staff in US by 2022,Infosys plans to hire 15,000 freshers next year, rolls out salary hikes effective January 2021",2
2020-11-02,Mistrys’ Tata Sons exit plan to bring tax windfall for the Centre: Report,1
2020-11-09,TCS to acquire Postbank Systems AG from Deutsche Bank AG,1
2020-11-17,TCS to build investment insights solution for capital markets industry,1
2020-11-26,FC Kohli no more: Father of Indian IT industry had ‘a tough-love’ management style that pushed barriers,1
2021-01-05,IT Q3 Preview: 3 stocks to bet on as robust QoQ topline growth likely with upward revision in full year growth forecasts,1
2021-01-08,"TCS Q3 profit rises 7.2% to Rs 8,701 crore, constant currency revenue at 4.1% beats estimates,TCS Q3 preview: Large deal wins to boost revenue, but wage revision could impact margin",2
2021-01-09,"TCS Consolidated December 2020 Net Sales at Rs 42,015.00 crore, up 5.42% Y-o-Y,TCS Standalone December 2020 Net Sales at Rs 34,957.00 crore, up 5.8% Y-o-Y",2
2021-01-11,"Buy Tata Consultancy Services; target of Rs 3600: ICICI Direct,Buy Tata Consultancy Services; target of Rs 3600: ICICI Direct,Hold Tata Consultancy Services; target of Rs 3150: Emkay Global Financial,Buy Tata Consultancy Services; target of Rs 3586: Prabhudas Lilladher,Reduce Tata Consultancy Services; target of Rs 3300 : Dolat Capital Market,Hold Tata Consultancy Services; target of Rs 3337: Arihant Capital,Neutral Tata Consultancy Services; target of Rs 3175: Motilal Oswal,Buy Tata Consultancy Services: target of Rs 3590: Sharekhan",8
2021-01-12,"TCS Standalone December 2020 Net Sales at Rs 34,957.00 crore, up 5.8% Y-o-Y,TCS Consolidated December 2020 Net Sales at Rs 42,015.00 crore, up 5.42% Y-o-Y,TCS Standalone December 2020 Net Sales at Rs 34,957.00 crore, up 5.8% Y-o-Y,TCS Consolidated December 2020 Net Sales at Rs 42,015.00 crore, up 5.42% Y-o-Y",4
2021-03-26,Tata group stocks rise up to 6% after Supreme Court rules in favour of Tatas against Mistry,1
2021-04-12,"TCS Q4 profit jumps 6.3% QoQ to Rs 9,246 crore, CC revenue growth at 4.2% with highest-ever quarterly deal wins,TCS Q4FY21 Preview | Earnings expected to beat peers; deal wins key",2
2021-04-13,"Neutral TCS; target of Rs 3250: Motilal Oswal,Buy Tata Consultancy Services; target of Rs 3800: ICICI Direct,Reduce Tata Consultancy Services; target of Rs 3370: Dolat Capital Market,Buy Tata Consultancy Services: target of Rs 3750: Sharekhan,Buy Tata Consultancy Services; target of Rs 3636: Prabhudas Lilladher,TCS Consolidated March 2021 Net Sales at Rs 43,705.00 crore, up 9.41% Y-o-Y,TCS Standalone March 2021 Net Sales at Rs 36,017.00 crore, up 8.41% Y-o-Y",7
2021-04-14,Hold Tata Consultancy Services; target of Rs 3150: Emkay Global Financial,1
2021-04-15,Buy Tata Consultancy Services; target of Rs 3610: Anand Rathi,1
2021-04-16,Buy Tata Consultancy Services; target of Rs 3773: Geojit,1
2021-05-07,"TCS Consolidated March 2021 Net Sales at Rs 43,705.00 crore, up 9.41% Y-o-Y",1
2021-05-09,Robust regulatory framework needed to deal with 'open banking' challenges: Experts,1
2021-05-16,M-cap of eight most valued companies plummets over Rs 1.13 lakh crore,1
2021-05-25,Accumulate Tata Consultancy Services; target of Rs 3370: Dolat Capital Market,1
2021-05-26,TCS sees pandemic-driven boost in Europe as clients adopt new technologies,1
