,Date,open_price,high_price,low_price,close_price,volume,news_lm,news_lm_count,News_bs,news_bs_count,news_mc1,news_mc_count,Sentiment on Date,Subjectivity on Day,Sentiment Value,Subjectivity value,News Sentiment on Date,News Subjectivity on Day,News Sentiment Value,News Subjectivity value,total_tweets,retweets_sum,tweets_favourites_sum,News,total_news
190,2020-08-24,2250.6,2259.95,2230,2248.1,2167966,0,0.0,0,0.0,0,0.0, Slightly Positive,Slightly Subjective,0.272727273,0.5840909089999999,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
191,2020-08-21,2260,2271,2241.05,2248.6,1975294,US court upholds $140 mn compensation to Epic Systems in lawsuit against TCS,1.0,0,0.0,0,0.0,0,0,0.0,0.0, Slightly Positive,Slightly Subjective,0.1,0.4,0.0,0.0,0.0,US court upholds $140 mn compensation to Epic Systems in lawsuit against TCS,1.0
192,2020-08-20,2257,2276.55,2240.05,2252.85,2895164,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
193,2020-08-19,2276.35,2284.6,2252.5,2256.6,2843005,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
194,2020-08-18,2262.8,2289,2248.3,2269.75,3493374,Steady tech spends by global lenders will aid recovery of India’s IT sector,1.0,0,0.0,0,0.0,0,0,0.0,0.0,Neutral,Highly Subjective,0.083333333,0.25,0.0,0.0,0.0,Steady tech spends by global lenders will aid recovery of India’s IT sector,1.0
195,2020-08-17,2263,2270,2238.25,2253.4,2625630,0,0.0,"Tata Motors, Tata Steel, TCS: Here'S How To Trade Tata Group Stocks",1.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"Tata Motors, Tata Steel, TCS: Here'S How To Trade Tata Group Stocks",1.0
196,2020-08-14,2277,2281.3,2233.1,2242.15,2270405,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
197,2020-08-13,2273,2300,2250.5,2254.45,2695682,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
198,2020-08-12,2288.35,2296.4,2246.55,2257.35,3415751,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
199,2020-08-11,2283,2312,2275.6,2279.9,2774423,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
200,2020-08-10,2318,2325,2276.05,2282.8,2929353,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
201,2020-08-07,2308,2328,2287,2295.35,3165491,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
202,2020-08-06,2275,2319.5,2265.35,2308.1,4748047,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
203,2020-08-05,2260,2300,2253,2259.5,3800641,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
204,2020-08-04,2259.95,2269.65,2225.05,2249.7,2927928,"TCS, 2 others shortlisted for implementation of RBI's market surveillance system,Trump’s order queers the pitch for H-1B workers",2.0,"Infosys, TCS: How To Trade IT Stocks After Trump'S Order On H-1B Visa Use",1.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"Infosys, TCS: How To Trade IT Stocks After Trump'S Order On H-1B Visa Use,TCS, 2 others shortlisted for implementation of RBI's market surveillance system,Trump’s order queers the pitch for H-1B workers",3.0
